Date,Price,Volume
2011-02-03,0.88,28553.00976
2011-02-04,0.78,0.0
2011-02-05,0.92,4343.53712
2011-02-06,0.90585,6098.37876945
2011-02-07,0.92,0.0
2011-02-08,0.935,8980.208435
2011-02-09,1.1,72060.0309
2011-02-10,0.97,0.0
2011-02-11,1.0899,10715.0728356
2011-02-12,1.08,4282.82532
2011-02-13,1.09,0.0
2011-02-14,1.085,11014.975335
2011-02-15,1.05019,5520.7333091
2011-02-16,1.08,0.0
2011-02-17,1.05019,8823.61761575
2011-02-18,1.02,33133.5831
2011-02-19,1.04,0.0
2011-02-20,0.8796,2384.4715764
2011-02-21,0.869499,4681.00351444
2011-02-22,0.88,0.0
2011-02-23,0.9499,6298.2103107
2011-02-24,1.0,11143.499
2011-02-25,0.96,0.0
2011-02-26,0.96,21026.42112
2011-02-27,0.949231,5746.40242009
2011-02-28,0.96,0.0
2011-03-01,0.9498,2016.0587772
2011-03-02,0.94,2784.31854
2011-03-03,0.95,0.0
2011-03-04,0.918901,2600.96857742
2011-03-05,0.910445,17230.2927142
2011-03-06,0.92,0.0
2011-03-07,0.9072,4025.8741824
2011-03-08,0.883751,2922.43022685
2011-03-09,0.9,0.0
2011-03-10,0.9329,8949.1184555
2011-03-11,0.9197,4060.4433105
2011-03-12,0.93,0.0
2011-03-13,0.9,4165.4682
2011-03-14,0.899885,2533.62351785
2011-03-15,0.9,0.0
2011-03-16,0.88,9103.18376
2011-03-17,0.850617,11914.8364461
2011-03-18,0.87,0.0
2011-03-19,0.79,7317.32523
2011-03-20,0.7883,3606.9289257
2011-03-21,0.79,0.0
2011-03-22,0.85,11509.47175
2011-03-23,0.9,12734.6094
2011-03-24,0.86,0.0
2011-03-25,0.905,8677.64499
2011-03-26,0.8958,7058.944311
2011-03-27,0.9,0.0
2011-03-28,0.8,2924.272
2011-03-29,0.795,3247.31265
2011-03-30,0.8,0.0
2011-03-31,0.79997,2950.92053633
2011-04-01,0.79697,1753.24155148
2011-04-02,0.8,0.0
2011-04-03,0.79,16756.83852
2011-04-04,0.71,11855.01058
2011-04-05,0.77,0.0
2011-04-06,0.7677,8755.8618609
2011-04-07,0.799,16425.096533
2011-04-08,0.78,0.0
2011-04-09,0.758899,2297.66462047
2011-04-10,0.781,8787.720623
2011-04-11,0.76,0.0
2011-04-12,1.0,51759.955
2011-04-13,0.94,10783.304
2011-04-14,0.99,0.0
2011-04-15,1.095,29328.498615
2011-04-16,1.085,16441.2871
2011-04-17,1.09,0.0
2011-04-18,1.19,16394.59311
2011-04-19,1.1979,27024.7054572
2011-04-20,1.19,0.0
2011-04-21,1.332,56032.20504
2011-04-22,1.549,76280.47402
2011-04-23,1.38,0.0
2011-04-24,1.701,26232.861123
2011-04-25,1.73,35059.82189
2011-04-26,1.71,0.0
2011-04-27,2.65,265782.09185
2011-04-28,2.7,104007.1833
2011-04-29,2.66,0.0
2011-04-30,4.09,195812.79501
2011-05-01,3.495,85422.87474
2011-05-02,3.95,0.0
2011-05-03,3.58,68236.02436
2011-05-04,3.5,50318.7615
2011-05-05,3.56,0.0
2011-05-06,3.7,51864.1247
2011-05-07,3.9,73003.7451
2011-05-08,3.75,0.0
2011-05-09,5.2,228989.8988
2011-05-10,6.065,346483.630765
2011-05-11,5.41,0.0
2011-05-12,8.45,541303.54395
2011-05-13,8.9,321728.0758
2011-05-14,8.56,0.0
2011-05-15,8.5,359376.634
2011-05-16,8.38901,285797.89164
2011-05-17,8.47,0.0
2011-05-18,7.34,179823.77568
