Date,Price,Volume,Daily_Return,Cum_Return
2013-10-14,139.24,1768501.45934,0.026162576461050913,1810.6631989596797
2013-10-15,135.17,2871306.8223,-0.029230106291295743,1757.7373211963506
2013-10-16,143.33,2913283.14301,0.060368424946364074,1863.8491547464155
2013-10-17,150.59,3425207.87897,0.05065234075211045,1958.257477243164
2013-10-18,143.94,2455437.9144,-0.044159638754233344,1871.7815344603296
2013-10-19,165.71,1268467.9714,0.15124357371126873,2154.876462938872
2013-10-20,177.07,4684998.81486,0.06855349707320002,2302.6007802340596
2013-10-21,186.12,2079827.7192,0.051109730615011006,2420.2860858257363
2013-10-22,199.95,4871058.71447,0.07430689877498375,2600.1300390116908
2013-10-23,195.78,10689265.3273,-0.02085521380345079,2545.903771131327
2013-10-24,203.7,4910689.602,0.04045357033404828,2648.8946684005073
2013-10-25,179.71,2772752.64286,-0.11777123220422181,2336.931079323786
2013-10-26,189.06,1077352.42452,0.05202826776473213,2458.5175552665683
2013-10-27,179.56,1734472.3892,-0.05024859832857298,2334.9804941482334
2013-10-28,202.09,2939387.24423,0.1254733793717977,2627.9583875162425
2013-10-29,203.39,4753775.27892,0.006432777475382068,2644.8634590376982
2013-10-30,216.0,1933511.04,0.061999115000737515,2808.842652795825
2013-10-31,203.24,1585174.84615,-0.05907407407407406,2642.9128738621457
2013-11-01,204.15,1425709.17887,0.004477465065931829,2654.746423927165
2013-11-02,203.0,1007872.67,-0.005633112907176163,2639.791937581261
2013-11-03,225.1,5415906.61934,0.10886699507389164,2927.178153446019
2013-11-04,246.63,8262453.12977,0.0956463793869391,3207.152145643677
2013-11-05,229.95,6524796.7575,-0.06763167497871303,2990.247074122222
2013-11-06,292.32,13309556.2116,0.2712328767123289,3801.300390117017
2013-11-07,325.56,14089013.9337,0.11371100164203618,4233.550065019485
2013-11-08,291.02,14459640.0914,-0.10609411475611263,3784.39531859556
2013-11-09,296.91,20053910.8409,0.02023915882069982,3860.9882964889284
2013-11-10,339.38,11509222.6051,0.14303997844464633,4413.263979193736
2013-11-11,328.0,22181780.64,-0.03353173433908896,4265.279583875142
2013-11-12,391.64,13932937.4012,0.1940243902439025,5092.847854356282
2013-11-13,416.5,13310930.6322,0.06347666224083337,5416.124837451209
2013-11-14,393.0,15231842.91,-0.056422569027611,5110.53315994796
2013-11-15,433.53,13206368.4702,0.10312977099236642,5637.581274382287
2013-11-16,463.0,9467000.46135,0.06797684127972703,6020.806241872533
2013-11-17,437.24,7864793.2864,-0.055637149028077704,5685.8257477242905
2013-11-18,559.99,51468001.2852,0.280738267313146,7282.05461638488
2013-11-19,595.0,29401413.7641,0.0625189735530991,7737.32119635887
2013-11-20,547.0,39187621.53,-0.08067226890756307,7113.13394018202
2013-11-21,761.0,20545165.6326,0.3912248628884827,9895.968790637144
2013-11-22,837.99,17943616.9462,0.10116951379763472,10897.139141742471
2013-11-23,795.0,19979749.2,-0.05130132817814059,10338.101430429078
2013-11-24,814.0,10870023.1517,0.023899371069182385,10585.175552665749
2013-11-25,844.9,27112782.8655,0.03796068796068797,10986.996098829597
2013-11-26,814.56,18763528.0752,-0.0359095750976447,10592.457737321147
2013-11-27,1009.0,41250395.8812,0.23870555882930677,13120.936280884205
2013-11-28,1083.9,25685288.7203,0.07423191278493557,14094.9284785435
2013-11-29,1014.1,37478428.353,-0.06439708460190063,13187.256176852996
2013-11-30,970.0,26557474.5699,-0.04348683561778921,12613.784135240514
2013-12-01,992.27,62569704.1613,0.022958762886597928,12903.381014304232
2013-12-02,955.01,58711378.9724,-0.03755026353714208,12418.855656696953
2013-12-03,1151.0,14221497.1382,0.20522298195830402,14967.490247074053
2013-12-04,1028.34,56082558.2788,-0.1065682015638576,13372.431729518792
2013-12-05,1136.9,16426078.997,0.10556819728883471,14784.135240572105
2013-12-06,727.29,71950734.3038,-0.3602867446565222,9457.607282184612
2013-12-07,722.99,19251155.3373,-0.005912359581459858,9401.690507152103
2013-12-08,705.91,56810719.117,-0.023624116516134497,9179.583875162507
2013-12-09,936.98,18923485.8446,0.32733634599311534,12184.395318595523
2013-12-10,886.2,30884927.5888,-0.054195393711712114,11524.057217165097
2013-12-11,978.76,22555749.3148,0.10444594899571191,12727.698309492787
2013-12-12,874.0,13658135.9123,-0.10703338918631733,11365.409622886813
2013-12-13,864.7,7165449.73387,-0.010640732265446151,11244.47334200255
2013-12-14,885.0,13072901.4,0.02347635017925276,11508.452535760674
2013-12-15,709.0,18628897.8591,-0.19887005649717515,9219.76592977889
2013-12-16,702.05,49864735.0759,-0.009802538787024084,9129.38881664495
2013-12-17,690.0,40515364.8,-0.017164019656719542,8972.691807542222
2013-12-18,653.0,42939133.9339,-0.05362318840579705,8491.547464239233
2013-12-19,660.0,20692457.0756,0.010719754977029039,8582.57477243169
2013-12-20,685.3,38897908.973,0.03833333333333333,8911.573472041571
2013-12-21,637.0,11309057.6955,-0.0704800817160367,8283.485045513617
2013-12-22,639.9,7094014.16869,0.004552590266875933,8321.196358907635
2013-12-23,614.11,10855499.648,-0.040303172370682816,7985.825747724282
2013-12-24,658.07,3671203.11505,0.07158326684144534,8557.477243172914
2013-12-25,734.42,14586203.7083,0.116021091981096,9550.325097529214
2013-12-26,679.02,4517004.0048,-0.075433675553498,8829.908972691766
2013-12-27,701.61,8684724.90288,0.03326853406379793,9123.667100129998
2013-12-28,714.79,5709053.23116,0.018785365088866968,9295.058517555224
2013-12-29,715.0,9571647.8,0.00029379258243689144,9297.789336800999
2013-12-30,731.0,5888482.5625,0.02237762237762242,9505.851755526617
2013-12-31,746.9,6136683.50782,0.021751025991792128,9712.6137841352
2014-01-01,732.0,5801531.88,-0.019949123041906547,9518.85565669697
2014-01-02,806.21,15945573.4398,0.10137978142076509,10483.875162548722
2014-01-03,822.38,10067025.947,0.020056809019982413,10694.1482444733
2014-01-04,807.39,11996329.8024,-0.018227583355626353,10499.219765929736
2014-01-05,934.21,26853239.5657,0.157074028660251,12148.374512353657
2014-01-06,867.38,19755518.7575,-0.07153637833035398,11279.323797139097
2014-01-07,915.69,23700401.3664,0.055696465217090596,11907.542262678757
2014-01-08,809.17,13678077.9012,-0.11632757811049599,10522.366710012962
2014-01-09,827.46,15341573.7808,0.022603408430861283,10760.208062418684
2014-01-10,826.28,20915435.5956,-0.0014260508060813804,10744.863459037668
2014-01-11,851.0,11171979.1911,0.029917219344532064,11066.319895968745
2014-01-12,807.83,13419687.1286,-0.05072855464159809,10504.94148244469
2014-01-13,844.04,10317975.4204,0.044823787182946884,10975.812743823102
2014-01-14,847.7,10885454.7419,0.0043362873797452295,11023.407022106589
2014-01-15,830.9,6073510.13809,-0.019818331957060398,10804.94148244469
2014-01-16,841.83,10334044.1127,0.013154410879768985,10947.074122236629
2014-01-17,801.53,8248056.82498,-0.04787189812670023,10423.016905071481
2014-01-18,833.0,6486746.49701,0.039262410639651746,10832.24967490243
2014-01-19,811.2,4483770.096,-0.026170468187274865,10548.764629388777
2014-01-20,822.56,6338548.32152,0.014003944773175458,10696.488946683965
2014-01-21,813.05,6932278.28644,-0.011561466640731322,10572.821846553927
2014-01-22,824.78,6349164.6878,0.014427157001414503,10725.357607282145
2014-01-23,789.1,11907988.6782,-0.0432600208540459,10261.37841352402
2014-01-24,806.0,6997182.45858,0.021416803953871577,10481.144343302954
2014-01-25,780.02,12279425.849,-0.03223325062034743,10143.302990897233
2014-01-26,777.0,11258300.0426,-0.003871695597548741,10104.031209362773
2014-01-27,800.2,23185647.7315,0.029858429858429902,10405.721716514918
2014-01-28,747.57,18826062.7857,-0.0657710572356911,9721.326397919342
2014-01-29,799.37,10211352.2942,0.0692911700576535,10394.928478543527
2014-01-30,802.5,6958858.42833,0.00391558352202348,10435.630689206724
2014-01-31,800.0,10507896.0,-0.0031152647975077885,10403.120936280846
2014-02-01,819.57,3673585.2792,0.024462500000000054,10657.607282184617
2014-02-02,813.8,4536817.25875,-0.007040277218541502,10582.574772431692
2014-02-03,814.34,3317735.1676,0.0006635536986976387,10589.596879063683
2014-02-04,800.0,4349131.19077,-0.017609352358965547,10403.12093628085
2014-02-05,778.0,15753523.0392,-0.02749999999999997,10117.035110533126
2014-02-06,781.0,6591101.11,0.003856041131105492,10156.04681404418
2014-02-07,707.0,8449899.91139,-0.09475032010243278,9193.758127438203
2014-02-08,710.0,12373413.3157,0.004243281471004279,9232.769830949257
2014-02-09,680.8,9466292.528,-0.04112676056338038,8853.055916775005
2014-02-10,670.0,17486897.8311,-0.015863689776733136,8712.613784135216
2014-02-11,667.01,23622517.1702,-0.004462686567164198,8673.732119635866
2014-02-12,675.1,27029485.025,0.012128753691848848,8778.933680104008
2014-02-13,672.1,51070232.986,-0.004443786105762126,8739.921976592956
2014-02-14,651.42,14306450.6178,-0.030769230769230882,8471.001300390095
2014-02-15,670.29,46055404.7043,0.02896748641429503,8716.38491547462
2014-02-16,642.0,18743382.2611,-0.04220561249608368,8348.50455136539
2014-02-17,626.77,10145711.0721,-0.023722741433021888,8150.455136540942
2014-02-18,629.96,12629318.3876,0.005089586291622261,8191.937581274363
2014-02-19,582.7,17953764.6632,-0.07502063623087174,7577.3732119635715
2014-02-20,566.16,21045093.3134,-0.028385103827012315,7362.288686605963
2014-02-21,563.0,19683088.04,-0.005581461071075267,7321.196358907654
2014-02-22,626.77,11013569.0711,0.11326820603907639,8150.4551365409425
2014-02-23,545.0,25554791.2104,-0.1304625301147151,7087.126137841336
2014-02-24,611.05,12599747.1215,0.12119266055045874,7946.033810143024
2014-02-25,585.38,29824414.5598,-0.04200965551100555,7612.223667100113
2014-02-26,585.17,14560568.0035,-0.000358741330417911,7609.492847854339
2014-02-27,585.21,28862469.4185,6.83562041801089e-05,7610.013003901154
2014-02-28,571.5,12629466.5456,-0.023427487568565164,7431.72951885564
2014-03-01,559.88,2667620.87528,-0.020332458442694712,7280.62418725616
2014-03-02,567.48,8103483.8796,0.013574337358005284,7379.4538361508285
2014-03-03,677.61,27726273.4628,0.19406851342778597,8811.573472041593
2014-03-04,664.85,10069481.6693,-0.018830890925458532,8645.643693107913
2014-03-05,673.28,18874058.24,0.012679551778596698,8755.266579973973
2014-03-06,621.3,11533475.2123,-0.07720413498098866,8079.323797139124
2014-03-07,609.0,7378972.86238,-0.019797199420569678,7919.375812743806
2014-03-08,631.99,13570695.9904,0.03775041050903116,8218.335500650177
2014-03-09,621.99,6763274.88417,-0.015823035174607147,8088.296488946667
2014-03-10,622.9,5391617.99061,0.0014630460296789494,8100.130039011686
2014-03-11,629.33,8456225.3971,0.010322684218975864,8183.7451235370445
2014-03-12,642.61,4786086.21641,0.021101806683297974,8356.436931079306
2014-03-13,636.47,5350789.63545,-0.009554784394889548,8276.592977893351
2014-03-14,641.01,4313170.3971,0.007133093468663088,8335.630689206746
2014-03-15,634.94,2073449.09781,-0.009469431054117572,8256.697009102716
2014-03-16,624.7,4399818.74931,-0.01612750811100261,8123.537061118321
2014-03-17,634.99,2090545.8275,0.01647190651512731,8257.347204161233
2014-03-18,608.41,4424994.8337,-0.04185892691223492,7911.703511053301
2014-03-19,590.0,6173088.60368,-0.030259200210384418,7672.301690507137
2014-03-20,611.2,4331268.8,0.03593220338983061,7947.984395318581
2014-03-21,557.0,7773411.46318,-0.08867801047120427,7243.172951885552
2014-03-22,567.13,3768574.27643,0.01818671454219034,7374.902470741208
2014-03-23,563.01,7669603.725,-0.007264648316964384,7321.326397919362
2014-03-24,580.02,7230990.78936,0.03021260723610597,7542.522756827034
2014-03-25,585.7,6384680.23308,0.009792765766697853,7616.384915474629
2014-03-26,585.79,4709236.1048,0.0001536622844457991,7617.55526657996
2014-03-27,503.0,21660004.8214,-0.14133051093395244,6540.962288686594
2014-03-28,499.94,6383424.66542,-0.006083499005964166,6501.170351105319
2014-03-29,499.6,17766055.776,-0.0006800816097931595,6496.7490247074
2014-03-30,457.0,9899400.51464,-0.08526821457165734,5942.782834850444
2014-03-31,479.51,11933723.0391,0.04925601750547037,6235.500650195046
2014-04-01,457.49,9510860.2578,-0.04592187858438823,5949.154746423915
2014-04-02,446.31,13651170.1497,-0.024437692627161223,5803.77113133939
2014-04-03,446.01,7827738.07648,-0.0006721785306177397,5799.869960988285
2014-04-04,448.72,12067476.3192,0.006076096948498977,5835.1105331599365
2014-04-05,459.67,2858575.74569,0.024402745587448704,5977.503250975281
2014-04-06,447.74,3185471.98925,-0.02595340135314461,5822.366710012992
2014-04-07,458.0,2459524.12,0.022915084647340045,5955.786736020795
2014-04-08,443.1,3635252.10153,-0.03253275109170306,5762.028608582564
2014-04-09,401.0,14696324.8165,-0.09501241254795767,5214.564369310782
2014-04-10,441.93,3539452.7244,0.10206982543640897,5746.814044213252
2014-04-11,424.98,5630343.87206,-0.03835449053017448,5526.3979193758005
2014-04-12,405.0,3924022.19855,-0.04701397712833544,5266.579973992186
2014-04-13,423.37,4624978.554,0.04535802469135808,5505.461638491535
2014-04-14,489.91,14255961.1123,0.15716748943004943,6370.741222366696
2014-04-15,511.5,17293604.9893,0.0440693188544834,6651.495448634575
2014-04-16,523.0,17021803.81,0.022482893450635366,6801.040312093613
2014-04-17,479.98,5910268.09861,-0.08225621414913953,6241.61248374511
2014-04-18,499.9,4766233.24969,0.04150172923871809,6500.650195058502
2014-04-19,482.11,5372537.418,-0.03558711742348464,6269.310793237956
2014-04-20,496.5,4077741.38323,0.029847960009126595,6456.436931079308
2014-04-21,493.33,3319630.72023,-0.006384692849949691,6415.214564369295
2014-04-22,498.38,4176593.8492,0.010236555652403112,6480.884265279568
2014-04-23,491.6,2950180.15545,-0.013604077210160881,6392.717815344588
2014-04-24,459.15,14864619.0544,-0.0660089503661514,5970.741222366696
2014-04-25,502.15,3993448.305,0.09365131220733969,6529.908972691793
