Date,Price
2010-08-16,
2010-08-18,-0.10533159947984394
2010-08-19,-0.030523255813953543
2010-08-20,0.04947526236881572
2010-08-21,-0.05142857142857149
2010-08-22,-0.0060240963855421326
2010-08-23,0.06060606060606055
2010-08-24,-0.050000000000000044
2010-08-25,-1.5037593985023356e-05
2010-08-26,0.052647408231702775
2010-08-27,-0.07142857142857151
2010-08-28,-0.0030769230769231992
2010-08-29,-0.07407407407407407
2010-08-30,0.08283333333333331
2010-08-31,-0.0010774203478528532
2010-09-01,-0.07550077041602465
2010-09-02,0.05666666666666664
2010-09-03,-0.03312302839116721
2010-09-04,-0.021207177814029365
2010-09-05,0.06666666666666665
2010-09-06,-0.03359374999999998
2010-09-07,-0.029911075181891733
2010-09-08,0.040000000000000036
2010-09-09,-0.006249999999999867
2010-09-10,-0.03241412675374944
2010-09-11,0.0833166666666667
2010-09-12,-0.04598532285112078
2010-09-13,-0.03241412675374944
2010-09-14,1.9166666666666665
2010-09-15,-0.6462857142857144
2010-09-16,1.4232633279483036
2010-09-17,-0.594
2010-09-18,0.0278981937602627
2010-09-19,-0.04151823511557695
2010-09-20,0.05499999999999994
2010-09-21,-0.00789889415481837
2010-09-22,-0.04458598726114649
2010-09-23,0.046833333333333504
2010-09-24,-0.0065276229899698945
2010-09-25,-0.038461538461538436
2010-09-26,0.036766666666666614
2010-09-27,0.008102112336430656
2010-09-28,-0.04321479827778674
2010-09-29,0.03200000000000003
2010-09-30,0.0012758397932814969
2010-10-01,-0.032242455523476155
2010-10-02,0.023333333333333428
2010-10-03,0.009771986970684043
2010-10-04,-0.032258064516129115
2010-10-05,0.05499999999999994
2010-10-06,0.00789889415481837
2010-10-07,-0.059561128526645746
2010-10-08,1.0001666666666669
2010-10-09,-8.33263894676195e-05
2010-10-10,0.0
2010-10-11,-0.17499999999999993
2010-10-12,-0.04040404040404044
2010-10-13,0.05263157894736836
2010-10-14,0.18999999999999995
2010-10-15,-0.08403361344537807
2010-10-16,0.10091743119266061
2010-10-17,-0.14166666666666672
2010-10-18,-0.005825242718446533
2010-10-19,-0.0234375
2010-10-20,0.08999999999999986
2010-10-21,-0.01834862385321101
2010-10-22,0.028037383177570208
2010-10-23,0.7272727272727273
2010-10-24,-0.21052631578947367
2010-10-25,0.19999999999999996
2010-10-26,0.05555555555555558
2010-10-27,5.2631578947526236e-05
2010-10-28,-5.262880901013567e-05
2010-10-29,0.010000000000000009
2010-10-30,0.03699843668577407
2010-10-31,-0.045226130653266416
2010-11-01,0.02894736842105261
2010-11-02,0.40664961636828645
2010-11-03,-0.23636363636363644
2010-11-04,0.1423809523809525
2010-11-05,0.20883701542309296
2010-11-06,-0.13793103448275856
2010-11-07,0.48
2010-11-08,-0.0897297297297297
2010-11-09,0.06888361045130642
2010-11-10,-0.33333333333333337
2010-11-11,0.04583333333333339
2010-11-12,-0.043824701195219196
2010-11-13,0.24583333333333335
2010-11-14,-0.05418060200668895
2010-11-15,0.06082036775106081
2010-11-16,-0.06666666666666654
2010-11-17,0.03571071428571426
2010-11-18,-0.03447942923941105
2010-11-19,0.03214285714285703
2010-11-20,0.0034602076124568004
2010-11-21,0.0
2010-11-22,-0.007241379310344742
2010-11-23,-0.01705453282389713
2010-11-24,0.024771193328386065
2010-11-25,-0.0034482758620689724
2010-11-26,-0.015920415224913387
2010-11-27,0.019694162075112764
2010-11-28,-0.037931034482758474
2010-11-29,-0.014336917562724039
2010-11-30,0.0181818181818183
2010-12-01,-0.1071428571428572
2010-12-02,0.021200000000000108
2010-12-03,-0.020759890325107833
2010-12-04,-0.06000000000000005
2010-12-05,-0.04255319148936165
2010-12-06,0.022222222222222143
2010-12-07,0.07695652173913037
2010-12-08,-0.03593056116269677
2010-12-09,0.04690117252931314
2010-12-10,-0.08999999999999997
2010-12-11,0.00219780219780219
2010-12-12,0.00877192982456143
2010-12-13,0.0
2010-12-14,0.07304347826086954
2010-12-15,-0.06807131280388967
2010-12-16,0.10869565217391308
2010-12-17,-0.02352941176470591
2010-12-18,0.004016064257028162
2010-12-19,0.10000000000000009
2010-12-20,-0.021490909090909227
2010-12-21,0.0033817681816492584
2010-12-22,-0.07407407407407418
2010-12-23,0.0
2010-12-24,0.0
2010-12-25,0.07999599999999996
2010-12-26,-0.01851488338845686
2010-12-27,0.018867924528301883
2010-12-28,0.1148148148148147
2010-12-29,-0.0033255813953487756
2010-12-30,3.333344444467201e-06
2010-12-31,-6.666666666710341e-06
2011-01-01,-6.666711111380508e-06
2011-01-02,1.3333511113433616e-05
2011-01-03,-0.00033666666666654077
2011-01-04,-0.0030043447960814706
2011-01-05,0.0033511929845684296
2011-01-06,0.07333333333333347
2011-01-07,0.002788819875776394
2011-01-08,-0.008974970424096784
2011-01-09,0.028124999999999956
2011-01-10,0.0
2011-01-11,0.003039513677811634
2011-01-12,0.2272727272727273
2011-01-13,0.11111111111111116
2011-01-14,-0.06666666666666676
2011-01-15,-0.04761904761904756
2011-01-16,0.0
2011-01-17,0.0
2011-01-18,-0.14975000000000005
2011-01-19,0.08056453984122314
2011-01-20,-0.04761904761904767
2011-01-21,0.22828571428571443
2011-01-22,0.03349616189811577
2011-01-23,-0.03218546027458924
2011-01-24,-0.011627906976744207
2011-01-25,0.0
2011-01-26,0.0117647058823529
2011-01-27,0.04651162790697683
2011-01-28,-0.008888888888888946
2011-01-29,0.008968609865470878
2011-01-30,0.11111111111111116
2011-01-31,0.8999999999999999
2011-02-01,-0.35789473684210527
2011-02-02,0.2295081967213115
2011-02-03,0.17333333333333334
