Date,Cum_Return
2010-08-16,
2010-08-18,0.8946684005201561
2010-08-19,0.8673602080624186
2010-08-20,0.9102730819245775
2010-08-21,0.8634590377113134
2010-08-22,0.8582574772431729
2010-08-23,0.9102730819245773
2010-08-24,0.8647594278283485
2010-08-25,0.864746423927178
2010-08-26,0.9102730819245773
2010-08-27,0.8452535760728217
2010-08-28,0.8426527958387514
2010-08-29,0.7802340702210662
2010-08-30,0.8448634590377111
2010-08-31,0.8439531859557865
2010-09-01,0.7802340702210661
2010-09-02,0.8244473342002597
2010-09-03,0.7971391417425224
2010-09-04,0.780234070221066
2010-09-05,0.8322496749024704
2010-09-06,0.8042912873862156
2010-09-07,0.780234070221066
2010-09-08,0.8114434330299086
2010-09-09,0.8063719115734718
2010-09-10,0.7802340702210661
2010-09-11,0.8452405721716513
2010-09-12,0.8063719115734719
2010-09-13,0.7802340702210662
2010-09-14,2.2756827048114427
2010-09-15,0.8049414824447331
2010-09-16,1.9505851755526649
2010-09-17,0.791937581274382
2010-09-18,0.8140312093628085
2010-09-19,0.780234070221066
2010-09-20,0.8231469440832245
2010-09-21,0.816644993498049
2010-09-22,0.780234070221066
2010-09-23,0.8167750325097527
2010-09-24,0.8114434330299086
2010-09-25,0.7802340702210661
2010-09-26,0.8089206762028606
2010-09-27,0.8154746423927176
2010-09-28,0.7802340702210661
2010-09-29,0.8052015604681402
2010-09-30,0.8062288686605978
2010-10-01,0.7802340702210661
2010-10-02,0.7984395318595576
2010-10-03,0.8062418725617683
2010-10-04,0.780234070221066
2010-10-05,0.8231469440832245
2010-10-06,0.8296488946684001
2010-10-07,0.780234070221066
2010-10-08,1.5605981794538355
2010-10-09,1.560468140442132
2010-10-10,1.560468140442132
2010-10-11,1.2873862158647589
2010-10-12,1.2353706111833545
2010-10-13,1.30039011703511
2010-10-14,1.5474642392717808
2010-10-15,1.41742522756827
2010-10-16,1.5604681404421321
2010-10-17,1.3394018205461633
2010-10-18,1.3315994798439528
2010-10-19,1.3003901170351102
2010-10-20,1.41742522756827
2010-10-21,1.3914174252275677
2010-10-22,1.4304291287386213
2010-10-23,2.4707412223667093
2010-10-24,1.9505851755526653
2010-10-25,2.3407022106631983
2010-10-26,2.4707412223667093
2010-10-27,2.4708712613784134
2010-10-28,2.47074122236671
2010-10-29,2.495448634590377
2010-10-30,2.58777633289987
2010-10-31,2.4707412223667102
2010-11-01,2.5422626788036413
2010-11-02,3.5760728218465543
2010-11-03,2.730819245773732
2010-11-04,3.1196358907672304
2010-11-05,3.771131339401821
2010-11-06,3.2509752925877766
2010-11-07,4.811443433029909
2010-11-08,4.3797139141742525
2010-11-09,4.681404421326398
2010-11-10,3.1209362808842656
2010-11-11,3.2639791937581277
2010-11-12,3.120936280884265
2010-11-13,3.8881664499349804
2010-11-14,3.6775032509752927
2010-11-15,3.9011703511053315
2010-11-16,3.64109232769831
2010-11-17,3.7711183355006503
2010-11-18,3.6410923276983103
2010-11-19,3.7581274382314698
2010-11-20,3.771131339401821
2010-11-21,3.771131339401821
2010-11-22,3.743823146944084
2010-11-23,3.67997399219766
2010-11-24,3.771131339401821
2010-11-25,3.7581274382314698
2010-11-26,3.698296488946685
2010-11-27,3.7711313394018213
2010-11-28,3.6280884265279596
2010-11-29,3.576072821846555
2010-11-30,3.641092327698311
2010-12-01,3.2509752925877775
2010-12-02,3.3198959687906386
2010-12-03,3.2509752925877775
2010-12-04,3.0559167750325105
2010-12-05,2.9258777633289994
2010-12-06,2.990897269180755
2010-12-07,3.2210663198959693
2010-12-08,3.1053315994798445
2010-12-09,3.2509752925877766
2010-12-10,2.9583875162548767
2010-12-11,2.9648894668400523
2010-12-12,2.9908972691807545
2010-12-13,2.9908972691807545
2010-12-14,3.209362808842653
2010-12-15,2.9908972691807545
2010-12-16,3.315994798439532
2010-12-17,3.2379713914174255
2010-12-18,3.2509752925877766
2010-12-19,3.5760728218465547
2010-12-20,3.4992197659297792
2010-12-21,3.5110533159947988
2010-12-22,3.250975292587776
2010-12-23,3.250975292587776
2010-12-24,3.250975292587776
2010-12-25,3.5110403120936278
2010-12-26,3.446033810143043
2010-12-27,3.5110533159947988
2010-12-28,3.9141742522756826
2010-12-29,3.9011573472041614
2010-12-30,3.9011703511053315
2010-12-31,3.9011443433029904
2011-01-01,3.90111833550065
2011-01-02,3.901170351105331
2011-01-03,3.899856957087126
2011-01-04,3.8881404421326393
2011-01-05,3.901170351105331
2011-01-06,4.187256176853056
2011-01-07,4.198933680104032
2011-01-08,4.161248374512354
2011-01-09,4.278283485045514
2011-01-10,4.278283485045514
2011-01-11,4.291287386215865
2011-01-12,5.266579973992198
2011-01-13,5.851755526657998
2011-01-14,5.461638491547464
2011-01-15,5.201560468140442
2011-01-16,5.201560468140442
2011-01-17,5.201560468140442
2011-01-18,4.4226267880364105
2011-01-19,4.77893368010403
2011-01-20,4.5513654096228855
2011-01-21,5.590377113133939
2011-01-22,5.777633289986994
2011-01-23,5.591677503250973
2011-01-24,5.526657997399218
2011-01-25,5.526657997399218
2011-01-26,5.591677503250973
2011-01-27,5.851755526657995
2011-01-28,5.799739921976591
2011-01-29,5.851755526657995
2011-01-30,6.501950585175551
2011-01-31,12.353706111833546
2011-02-01,7.932379713914171
2011-02-02,9.752925877763326
2011-02-03,11.44343302990897
2011-02-04,10.14304291287386
2011-02-05,11.963589076723014
2011-02-06,11.779583875162547
2011-02-07,11.963589076723014
2011-02-08,12.15864759427828
2011-02-09,14.304291287386212
2011-02-10,12.613784135240568
2011-02-11,14.172951885565666
