Date,Australia,Canada,Japan,Sweden,United Kingdom,United States
2004-01-01,30430.6764374443,32143.6814078562,37688.7223359406,42821.6731423358,40208.8560760282,41712.8010675545
2005-01-01,33999.2428575835,36382.5079164537,37217.648727917,43437.0631164776,41932.8773606998,44114.7477810544
2006-01-01,36044.9228108485,40504.0607253203,35433.988963743,46593.6021646111,44472.5742349596,46298.7314440927
2007-01-01,40960.0544948199,44659.8951408034,35275.2284312667,53700.0053363063,50444.9301546348,47975.9676958038
2008-01-01,49601.6567082178,46710.5055759013,39339.2975731826,56152.552340314,47267.0121770864,48382.5584490552
2009-01-01,42772.3591664498,40876.3101540295,40855.1756354596,46946.9602719954,38736.9021994994,47099.9804711343
2010-01-01,52022.1255961876,47562.0834253057,44507.6763859172,52869.0442891587,39536.7726806835,48466.6576026922
2011-01-01,62517.8337471503,52223.696112356,48167.9972684965,60755.7595508465,42047.6142522206,49882.5581321495
2012-01-01,68012.1479005934,52669.0899632316,48603.4766497749,58037.8213192173,42449.1076656792,51602.9310457907
2013-01-01,68150.1070413215,52635.1749580433,40454.4474578903,61126.9431963979,43401.3105295842,53106.5367672165
2014-01-01,62510.7911705641,50955.9983232404,38109.4121125573,60020.3604576572,47452.1991368626,55049.9883272312
2015-01-01,56755.7217124249,43596.1355365546,34524.4698609337,51545.4836095322,45039.2359520486,56863.3714957652
2016-01-01,49971.131456129,42315.6037056806,38761.8181501925,51965.1571531985,41048.3496572292,58021.4004997125
2017-01-01,54027.9668184568,45129.3564395662,38386.5111457057,53791.5087298403,40304.7230763678,60109.6557260477
2018-01-01,57354.9640455891,46454.7433947203,39159.4235633952,54589.0603860606,42992.8037216089,63064.4184096731
2019-01-01,55057.2046960666,46326.6726375572,40113.0609702277,51686.8513545938,42354.4146545765,65279.5290260953
